hdg,mix-text_weightBold,Deceased Donor Transplants in a year,Living Donor Transplants in a year,Getting a Deceased Donor Transplant Faster,1-Year kidney Survival,lat,lng
Mayo Clinic Hospital Arizona,"Phoenix, AZ",381,121,4,3,33.6594309,-111.9563162
Tampa General Hospital,"Tampa, FL",356,93,1,3,27.937527,-82.4587507
University of California San Francisco Medical Center,"San Francisco, CA",314,117,3,4,37.7627945,-122.4580139
Saint Barnabas Medical Center,"Livingston, NJ",282,105,5,2,40.782424,-74.315139
The Cleveland Clinic Foundation,"Cleveland, OH",280,46,4,4,41.5031026,-81.6200078
Piedmont Hospital,"Atlanta, GA",272,71,2,4,33.8088868,-84.394939
Emory University Hospital,"Atlanta, GA",270,84,5,5,33.7914118,-84.3195114
Jackson Memorial Hospital University of Miami School of Medicine,"Miami, FL",265,43,2,2,25.7904064,-80.2119928
Vanderbilt University Medical Center,"Nashville, TN",265,46,5,2,36.1424343,-86.8013889
Hackensack University Medical Center,"Hackensack, NJ",264,49,4,4,40.8844221,-74.0564644
"VCU Health System Authority, VCUMC","Richmond, VA",261,37,4,2,37.539985,-77.4386148
University of Michigan Medical Center,"Ann Arbor, MI",257,49,3,2,42.2837252,-83.7287201
Cedars-Sinai Medical Center,"Los Angeles, CA",257,63,4,3,34.074922,-118.380967
Northwestern Memorial Hospital,"Chicago, IL",255,91,4,5,41.8781136,-87.6297982
Barnes-Jewish Hospital,"St. Louis, MO",252,70,3,3,38.6270025,-90.1994042
Medical University of South Carolina,"Charleston, SC",251,45,2,3,32.7834496,-79.9460262
University of California Davis Medical Center,"Sacramento, CA",244,55,5,4,38.5552196,-121.4562323
NYU Langone Health,"New York, NY",242,79,4,5,40.7127753,-74.0059728
Montefiore Medical Center,"Bronx, NY",226,17,3,4,40.8447819,-73.8648268
Methodist University Hospital,"Memphis, TN",224,18,4,4,35.1357662,-90.0195296
Ohio State University Medical Center,"Columbus, OH",216,76,2,2,39.9946534,-83.0172043
University of California at Los Angeles Medical Center,"Los Angeles, CA",215,121,4,4,34.0699182,-118.4438495
University of Colorado Hospital/Health Science Center,"Aurora, CO",214,78,4,3,39.7434602,-104.8408402
University of Illinois Medical Center,"Chicago, IL",209,56,2,2,41.8694785,-87.6705817
Loma Linda University Medical Center,"San Bernardino, CA",205,54,1,2,34.0494119,-117.2634176
Mount Sinai Medical Center,"New York, NY",203,65,4,3,40.7890717,-73.9538601
UT Southwestern Medical Center/William P. Clements Jr. University Hospital,"Dallas, TX",201,37,3,5,32.8196808,-96.8488444
University of Alabama Hospital,"Birmingham, AL",200,54,5,1,33.5062006,-86.8039758
Loyola University Medical Center,"Maywood, IL",198,51,5,4,41.8562521,-87.8346563
UF Health Shands Hospital,"Gainesville, FL",196,20,5,5,29.6398924,-82.3427865
University of Toledo Medical Center,"Toledo, OH",195,8,2,5,41.6162995,-83.615789
Johns Hopkins Hospital,"Baltimore, MD",193,37,3,4,39.2903848,-76.6121893
Medstar Georgetown Transplant Institute,"Washington, DC",190,70,5,2,38.9109004,-77.0750332
University of Cincinnati  Medical Center,"Cincinnati, OH",185,25,4,4,39.1394511,-84.5057915
University of Wisconsin Hospital and Clinics,"Madison, WI",184,101,4,4,43.0766353,-89.4311231
Wake Forest Baptist Medical Center,"Winston-Salem, NC",180,34,2,4,36.0898395,-80.2685897
Methodist Specialty and Transplant Hospital,"San Antonio, TX",180,214,3,1,29.5139623,-98.5765423
New York-Presbyterian Hospital/Weill Cornell Medical Center,"New York, NY",175,102,1,2,40.7644066,-73.9541833
Keck Hospital of USC,"Los Angeles, CA",172,40,5,3,34.062589,-118.2018382
University Medical Center of Southern Nevada,"Las Vegas, NV",168,4,4,4,36.1603396,-115.1675578
University Hospitals of Cleveland,"Cleveland, OH",168,17,5,4,41.5052754,-81.6067046
UAMS Medical Center,"Little Rock, AR",163,9,4,5,34.7490846,-92.3204416
University of Virginia Health Sciences Center,"Charlottesville, VA",161,25,3,3,38.0324352,-78.5030048
Duke University Hospital,"Durham, NC",161,41,4,3,36.0075097,-78.9384272
University of Washington Medical Center,"Seattle, WA",160,41,5,5,47.6492651,-122.3067955
Intermountain Medical Center,"Murray, UT",156,42,3,4,40.6594122,-111.8918515
Indiana University Health,"Indianapolis, IN",156,36,5,1,39.7807638,-86.1589045
Oregon Health and Science University,"Portland, OR",155,14,2,4,45.4980964,-122.6856243
California Pacific Medical Center-Van Ness Campus,"San Francisco, CA",151,44,3,3,37.785997,-122.422302
Ochsner Foundation Hospital,"New Orleans, LA",147,40,3,4,29.9508941,-90.0758356
University of California San Diego Medical Center,"La Jolla, CA",147,31,4,4,32.8776096,-117.2273422
Saint Thomas Hospital,"Nashville, TN",144,18,4,1,36.1542392,-86.8019993
North Shore University Hospital/Northwell Health,"Manhasset, NY",140,55,2,4,40.7756967,-73.7011493
Mayo Clinic Hospital Florida,"Jacksonville, FL",139,68,4,1,30.2640897,-81.4409507
"University Hospital, University of Texas Health Science Center","San Antonio, TX",137,63,5,4,29.5074654,-98.5753521
The Nebraska Medical Center,"Omaha, NE",135,29,2,3,41.2574606,-95.979292
Houston Methodist Hospital,"Houston, TX",135,122,2,3,29.7099061,-95.3997186
Carolinas Medical Center,"Charlotte, NC",134,22,2,1,35.2037121,-80.8388226
Baylor University Medical Center,"Dallas, TX",133,45,1,1,32.7895997,-96.7784089
Hospital of the University of Pennsylvania,"Philadelphia, PA",133,116,4,4,39.9501477,-75.1938829
University of Chicago Medical Center,"Chicago, IL",132,30,3,2,41.7892741,-87.6036009
University of Mississippi Medical Center,"Jackson, MS",131,16,2,4,32.2981392,-90.18065
